geo_insee;geo_name;year;rrmse;alpha;mu;sigma;d_alpha;d_mu;d_sigma
32;HAUTS-DE-FRANCE;2012-2013;0.5498871341056855;1171.7399552236711;164.79274491084053;16.83550822802264;60.49242214060729;1.0041928724445213;1.025920153748877
28;NORMANDIE;2012-2013;0.26865512681838727;445.01837949562906;169.59449208678117;18.342122711735588;9.662452746491157;0.4598306103730174;0.46735327624200035
52;PAYS-DE-LA-LOIRE;2012-2013;0.5190411954921115;364.22225062972467;166.77784049281436;23.503732782071644;17.350928363650908;1.320929187974159;1.3608900655740137
93;PROVENCE-ALPES-COTE-D-AZUR;2012-2013;0.49599578209979506;780.5490432740143;165.7639990084722;21.061847565772318;34.790715411479894;1.0980536532899712;1.1353702288945067
44;GRAND EST;2013-2014;0.5444078211333914;364.3218501791285;180.19493923182714;14.265919312360634;15.537944414210406;0.7025503884335762;0.7025503874698701
75;NOUVELLE-AQUITAINE;2013-2014;0.6214189863132085;189.09169417253557;166.54283648477784;21.91212362510895;14.109864078628432;1.8880096928095338;1.8880096870250351
84;AUVERGNE-RHONE-ALPES;2013-2014;0.4759039008638186;356.50114143093725;176.37865970260663;18.700326341905235;15.256077267911243;0.9240607233908794;0.9240607215464616
27;BOURGOGNE-FRANCHE-COMTE;2013-2014;0.7162431334594646;126.28852298653557;173.11541723744335;16.83271151115493;7.998185130252293;1.2309800577771473;1.2309800576120107
53;BRETAGNE;2013-2014;0.7504573638054883;196.72641550783564;182.9167883365371;24.20235098893399;19.19227076982336;2.726406503777608;2.72640648746455
24;CENTRE-VAL-DE-LOIRE;2013-2014;0.6776287857245291;284.24641129291876;175.41315420260264;15.529932770373167;17.06489969062972;1.0765834401131766;1.0765834423220433
94;CORSE;2013-2014;0.5048817894398647;416.5361064714699;177.75154400223144;19.776448905348587;17.885652399875195;0.9805501592980195;0.9805501585382524
11;ILE-DE-FRANCE;2013-2014;0.47963568654720434;189.31358869606134;171.9763068295903;19.19971167580484;8.906954782366777;1.0430653934208582;1.0430653909666279
76;OCCITANIE;2013-2014;0.42310703419941875;406.1191095462591;175.31410865884172;15.065085595502778;13.998401722579628;0.5996060418543909;0.5996060400042028
32;HAUTS-DE-FRANCE;2013-2014;0.6818024058046699;197.37501620451803;183.15398801875398;23.54348130372446;17.087494794344888;2.3535653871665314;2.353565378122615
28;NORMANDIE;2013-2014;0.912874683726339;149.08669783559665;178.19855340341016;13.954312143589618;11.149836621794813;1.2050565019904091;1.2050565049422273
52;PAYS-DE-LA-LOIRE;2013-2014;0.6993510270904478;156.0642495397693;171.20154104799158;17.881681392096578;9.101820447545308;1.204210911179794;1.204210902006245
93;PROVENCE-ALPES-COTE-D-AZUR;2013-2014;0.6046099902188474;408.77790528981325;170.15387279001413;16.888497777030192;20.56910403004731;0.9812696187117553;0.9812696138462484
44;GRAND EST;2014-2015;0.2592466115851361;739.3368778538147;163.21749934924418;17.561618206546388;15.645295944920289;0.42911660028739274;0.4291166025077665
75;NOUVELLE-AQUITAINE;2014-2015;0.38277933167662154;890.6999695446515;161.24096147473858;15.957113839244185;27.40354196468507;0.5668902351347335;0.5668902365361578
84;AUVERGNE-RHONE-ALPES;2014-2015;0.3611239178896525;835.9219830491063;163.3325230820074;18.921979030757512;26.371451497506726;0.689293548799341;0.6892935468877149
27;BOURGOGNE-FRANCHE-COMTE;2014-2015;0.6960983015227133;451.9334504580728;167.9191707201887;15.683324421236286;25.866847880982544;1.0365172087754546;1.0365172084704026
53;BRETAGNE;2014-2015;0.39954080226118177;757.3860456744591;164.29209662103472;16.83580355499462;25.020581610869566;0.6422192524990498;0.6422192515339792
24;CENTRE-VAL-DE-LOIRE;2014-2015;0.3236311988051254;976.0000278299816;165.751172992838;13.706603396654161;23.865074435126544;0.387001080878375;0.38700108056958693
94;CORSE;2014-2015;0.41720867296237873;485.60983768320625;163.82388148463127;20.71268160289822;19.943975115241408;0.9822678854426503;0.9822678860510207
11;ILE-DE-FRANCE;2014-2015;0.3981884019697877;825.7035948533421;160.57996597439737;16.12422255646579;29.3053089282246;0.6608003770960685;0.6608003803723121
76;OCCITANIE;2014-2015;0.2677221813352762;919.9121293101261;165.72951900554332;15.276122032354616;18.462778967118965;0.35402441570637905;0.3540244155193438
32;HAUTS-DE-FRANCE;2014-2015;0.4577254788362019;577.4657762118826;165.94695347171293;20.084845962742282;24.849951658982153;0.998015241214932;0.9980152377464528
28;NORMANDIE;2014-2015;0.5103167002506481;596.2412011682497;160.72564368688063;15.86670151639069;25.216042352578036;0.7748380903749522;0.774838090691637
52;PAYS-DE-LA-LOIRE;2014-2015;0.6796053403174754;800.3858724576979;162.17503731336083;16.06453748881857;46.56116811869785;1.0791008835660334;1.0791008813829202
93;PROVENCE-ALPES-COTE-D-AZUR;2014-2015;0.3772919829670486;1053.1123398560146;165.31620175917973;13.120175278551745;28.5777143745587;0.411113556654058;0.41111355712420194
44;GRAND EST;2015-2016;0.6042519556150395;394.1855548435902;191.3274567104568;21.311631192406153;22.420412800447657;1.3999253622196905;1.3984258826925917
75;NOUVELLE-AQUITAINE;2015-2016;0.48383059169923776;547.6470261390797;198.93081219339996;12.551718678405106;22.063324333231876;0.5839057885875207;0.583905787103276
